Country;Year;Both sexes;Male;Female
Somalia;2019;56.5;54.0;59.2
South Africa;2019;65.3;62.2;68.3
South Sudan;2019;62.8;60.8;64.8
Spain;2019;83.2;80.7;85.7
Sri Lanka;2019;76.9;73.8;79.8
Sudan;2019;69.1;67.6;70.8
Suriname;2019;71.5;68.5;74.6
Sweden;2019;82.4;80.8;84.0
Switzerland;2019;83.4;81.8;85.1
Syrian Arab Republic;2019;72.7;71.2;74.3
Tajikistan;2019;69.5;67.6;71.5
Thailand;2019;77.7;74.4;81.0
Timor-Leste;2019;69.6;67.9;71.4
Togo;2019;64.3;61.5;67.2
Tonga;2019;72.6;69.8;75.6
Trinidad and Tobago;2019;76.1;72.5;79.9
Tunisia;2019;77.0;74.9;79.2
Turkey;2019;78.6;76.4;80.7
Turkmenistan;2019;69.7;66.5;73.0
Uganda;2019;66.7;63.2;70.1
Ukraine;2019;73.0;68.0;77.8
United Arab Emirates;2019;76.1;75.1;78.4
United Kingdom of Great Britain and Northern Ireland;2019;81.4;79.8;83.0
United Republic of Tanzania;2019;67.3;65.4;69.3
United States of America;2019;78.5;76.3;80.7
Uruguay;2019;77.1;73.5;80.6
Uzbekistan;2019;73.0;70.8;75.2
Vanuatu;2019;65.3;62.7;68.3
Venezuela (Bolivarian Republic of);2019;73.9;69.9;78.2
Viet Nam;2019;73.7;69.6;78.1
Yemen;2019;66.6;64.4;68.9
Zambia;2019;62.5;59.5;65.4
Zimbabwe;2019;60.7;57.5;63.6
