Hauptkategorie,Kategorie,Verwendungszwecke des Individualkonsums,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,"2020","2020-01","2020-02","2020-03","2020-04","2020-05","2020-06","2020-07","2020-08","2020-09","2020-10","2020-11","2020-12","2021-01","2021-02","2021-03","2021-04","2021-05","2021-06","2021-07","2021-08","2021-09","2021-10"
CC13-07,CC13-0731,Personenbeförderung im Schienenverkehr,"100,00","105,9447983","115,07431","115,7112527","122,5053079","128,4501062","130,9978769","136,0934183","139,4904459","141,1889597","140,3397028","143,5244161","148,6199575","153,0785563","159,447983","164,7558386","173,4607219","180,0424628","186,6242038","190,6581741","192,1443737","199,5753715","205,5201699","210,403397","212,3142251","211,0403397","216,7728238","221,656051","223,1422505","196,1783439","204,8832272","199,5753715","197,0276008","204,670913","202,7600849","198,5138004","196,3906582","197,2399151","189,8089172","189,1719745","185,7749469","189,1719745","188,3227176","190,2335456","192,5690021","194,6921444","193,2059448","191,7197452","197,0276008","201,0615711","195,7537155","196,6029724"
CC13-07,CC13-0732,Personenbeförderung im Straßenverkehr,"100,00","108,6792453","114,5283019","117,3584906","122,2641509","125,0943396","127,5471698","129,4339623","131,8867925","134,1509434","141,1320755","146,2264151","148,8679245","151,509434","152,6415094","153,7735849","157,3584906","160,3773585","166,0377358","167,1698113","168,490566","173,7735849","176,7924528","182,6415094","188,6792453","191,509434","196,4150943","198,6792453","209,0566038","210,3773585","211,1320755","209,8113208","208,1132075","217,5471698","224,1509434","219,0566038","211,6981132","214,1509434","204,3396226","203,3962264","198,3018868","202,6415094","199,245283","197,9245283","197,5471698","205,6603774","226,4150943","222,8301887","219,4339623","223,7735849","216,6037736","222,4528302"
CC13-07,CC13-0733,Personenbeförderung im Luftverkehr,"100,00","95,77464789","89,61267606","88,73239437","93,48591549","96,47887324","96,83098592","96,65492958","96,65492958","97,71126761","100,7042254","105,6338028","107,5704225","112,3239437","121,4788732","123,943662","127,4647887","140,4929577","142,0774648","144,7183099","162,1478873","173,943662","174,2957746","177,1126761","176,056338","176,584507","179,0492958",175,"180,1056338","188,556338","180,4577465","181,6901408","182,0422535","189,4366197","186,2676056","188,556338","197,1830986","195,0704225","190,4929577","189,2605634","189,7887324","193,1338028","188,556338","189,9647887","191,0211268","198,415493","194,3661972","197,5352113","205,9859155","204,9295775","200,8802817","200,3521127"
