Type;01.01.1991;01.02.1991;01.03.1991;01.04.1991;01.05.1991;01.06.1991;01.07.1991;01.08.1991;01.09.1991;01.10.1991;01.11.1991;01.12.1991;01.01.1992;01.02.1992;01.03.1992;01.04.1992;01.05.1992;01.06.1992;01.07.1992;01.08.1992;01.09.1992;01.10.1992;01.11.1992;01.12.1992;01.01.1993;01.02.1993;01.03.1993;01.04.1993;01.05.1993;01.06.1993;01.07.1993;01.08.1993;01.09.1993;01.10.1993;01.11.1993;01.12.1993;01.01.1994;01.02.1994;01.03.1994;01.04.1994;01.05.1994;01.06.1994;01.07.1994;01.08.1994;01.09.1994;01.10.1994;01.11.1994;01.12.1994;01.01.1995;01.02.1995;01.03.1995;01.04.1995;01.05.1995;01.06.1995;01.07.1995;01.08.1995;01.09.1995;01.10.1995;01.11.1995;01.12.1995;01.01.1996;01.02.1996;01.03.1996;01.04.1996;01.05.1996;01.06.1996;01.07.1996;01.08.1996;01.09.1996;01.10.1996;01.11.1996;01.12.1996;01.01.1997;01.02.1997;01.03.1997;01.04.1997;01.05.1997;01.06.1997;01.07.1997;01.08.1997;01.09.1997;01.10.1997;01.11.1997;01.12.1997;01.01.1998;01.02.1998;01.03.1998;01.04.1998;01.05.1998;01.06.1998;01.07.1998;01.08.1998;01.09.1998;01.10.1998;01.11.1998;01.12.1998;01.01.1999;01.02.1999;01.03.1999;01.04.1999;01.05.1999;01.06.1999;01.07.1999;01.08.1999;01.09.1999;01.10.1999;01.11.1999;01.12.1999;01.01.2000;01.02.2000;01.03.2000;01.04.2000;01.05.2000;01.06.2000;01.07.2000;01.08.2000;01.09.2000;01.10.2000;01.11.2000;01.12.2000;01.01.2001;01.02.2001;01.03.2001;01.04.2001;01.05.2001;01.06.2001;01.07.2001;01.08.2001;01.09.2001;01.10.2001;01.11.2001;01.12.2001;01.01.2002;01.02.2002;01.03.2002;01.04.2002;01.05.2002;01.06.2002;01.07.2002;01.08.2002;01.09.2002;01.10.2002;01.11.2002;01.12.2002;01.01.2003;01.02.2003;01.03.2003;01.04.2003;01.05.2003;01.06.2003;01.07.2003;01.08.2003;01.09.2003;01.10.2003;01.11.2003;01.12.2003;01.01.2004;01.02.2004;01.03.2004;01.04.2004;01.05.2004;01.06.2004;01.07.2004;01.08.2004;01.09.2004;01.10.2004;01.11.2004;01.12.2004;01.01.2005;01.02.2005;01.03.2005;01.04.2005;01.05.2005;01.06.2005;01.07.2005;01.08.2005;01.09.2005;01.10.2005;01.11.2005;01.12.2005;01.01.2006;01.02.2006;01.03.2006;01.04.2006;01.05.2006;01.06.2006;01.07.2006;01.08.2006;01.09.2006;01.10.2006;01.11.2006;01.12.2006;01.01.2007;01.02.2007;01.03.2007;01.04.2007;01.05.2007;01.06.2007;01.07.2007;01.08.2007;01.09.2007;01.10.2007;01.11.2007;01.12.2007;01.01.2008;01.02.2008;01.03.2008;01.04.2008;01.05.2008;01.06.2008;01.07.2008;01.08.2008;01.09.2008;01.10.2008;01.11.2008;01.12.2008;01.01.2009;01.02.2009;01.03.2009;01.04.2009;01.05.2009;01.06.2009;01.07.2009;01.08.2009;01.09.2009;01.10.2009;01.11.2009;01.12.2009;01.01.2010;01.02.2010;01.03.2010;01.04.2010;01.05.2010;01.06.2010;01.07.2010;01.08.2010;01.09.2010;01.10.2010;01.11.2010;01.12.2010;01.01.2011;01.02.2011;01.03.2011;01.04.2011;01.05.2011;01.06.2011;01.07.2011;01.08.2011;01.09.2011;01.10.2011;01.11.2011;01.12.2011;01.01.2012;01.02.2012;01.03.2012;01.04.2012;01.05.2012;01.06.2012;01.07.2012;01.08.2012;01.09.2012;01.10.2012;01.11.2012;01.12.2012;01.01.2013;01.02.2013;01.03.2013;01.04.2013;01.05.2013;01.06.2013;01.07.2013;01.08.2013;01.09.2013;01.10.2013;01.11.2013;01.12.2013;01.01.2014;01.02.2014;01.03.2014;01.04.2014;01.05.2014;01.06.2014;01.07.2014;01.08.2014;01.09.2014;01.10.2014;01.11.2014;01.12.2014;01.01.2015;01.02.2015;01.03.2015;01.04.2015;01.05.2015;01.06.2015;01.07.2015;01.08.2015;01.09.2015;01.10.2015;01.11.2015;01.12.2015;01.01.2016;01.02.2016;01.03.2016;01.04.2016;01.05.2016;01.06.2016;01.07.2016;01.08.2016;01.09.2016;01.10.2016;01.11.2016;01.12.2016;01.01.2017;01.02.2017;01.03.2017;01.04.2017;01.05.2017;01.06.2017;01.07.2017;01.08.2017;01.09.2017;01.10.2017;01.11.2017;01.12.2017;01.01.2018;01.02.2018;01.03.2018;01.04.2018;01.05.2018;01.06.2018;01.07.2018;01.08.2018;01.09.2018;01.10.2018;01.11.2018;01.12.2018;01.01.2019;01.02.2019;01.03.2019;01.04.2019;01.05.2019;01.06.2019;01.07.2019;01.08.2019;01.09.2019;01.10.2019;01.11.2019;01.12.2019;01.01.2020;01.02.2020;01.03.2020;01.04.2020;01.05.2020;01.06.2020;01.07.2020;01.08.2020;01.09.2020;01.10.2020;01.11.2020;01.12.2020;01.01.2021;01.02.2021;01.03.2021;01.04.2021;01.05.2021;01.06.2021;01.07.2021;01.08.2021;01.09.2021;01.10.2021;01.11.2021;
Personenbeförderung im Schienenverkehr;100;100;100;100;100;101.284796573876;101.284796573876;101.284796573876;101.284796573876;101.284796573876;101.284796573876;101.284796573876;105.353319057816;105.353319057816;105.353319057816;105.353319057816;105.353319057816;107.922912205567;107.922912205567;107.922912205567;107.922912205567;107.922912205567;107.922912205567;107.922912205567;116.059957173448;116.059957173448;116.059957173448;116.059957173448;116.059957173448;116.059957173448;116.059957173448;116.059957173448;116.059957173448;116.059957173448;116.059957173448;116.059957173448;116.059957173448;116.059957173448;116.059957173448;116.059957173448;116.059957173448;116.702355460385;116.702355460385;116.702355460385;117.558886509636;116.702355460385;117.558886509636;117.558886509636;117.558886509636;122.912205567452;122.912205567452;122.912205567452;122.912205567452;124.625267665953;124.625267665953;124.625267665953;124.625267665953;124.625267665953;124.625267665953;124.625267665953;129.550321199143;129.550321199143;129.550321199143;129.550321199143;129.550321199143;129.550321199143;129.550321199143;129.550321199143;129.550321199143;129.550321199143;129.550321199143;129.550321199143;129.550321199143;129.550321199143;129.550321199143;133.190578158458;132.976445396146;132.976445396146;132.976445396146;132.976445396146;132.976445396146;132.54817987152;132.54817987152;132.54817987152;132.54817987152;132.54817987152;132.54817987152;138.758029978587;138.972162740899;138.972162740899;138.972162740899;138.972162740899;138.972162740899;138.972162740899;138.972162740899;138.972162740899;138.972162740899;138.972162740899;138.972162740899;141.113490364026;141.113490364026;141.113490364026;141.113490364026;141.113490364026;141.113490364026;141.113490364026;141.113490364026;141.113490364026;141.113490364026;142.398286937901;142.398286937901;142.398286937901;142.398286937901;142.612419700214;142.612419700214;142.612419700214;142.612419700214;142.612419700214;143.040685224839;143.040685224839;141.541755888651;141.541755888651;141.541755888651;141.541755888651;141.541755888651;141.541755888651;141.541755888651;141.541755888651;141.541755888651;141.541755888651;141.541755888651;141.541755888651;143.254817987152;143.254817987152;143.254817987152;145.182012847966;145.182012847966;145.396145610278;145.396145610278;145.396145610278;145.396145610278;145.396145610278;145.396145610278;145.396145610278;148.394004282655;148.822269807281;149.250535331906;149.464668094218;149.892933618844;150.321199143469;150.749464668094;150.107066381156;150.107066381156;150.107066381156;150.107066381156;151.391862955032;151.391862955032;151.391862955032;151.391862955032;154.603854389722;154.603854389722;154.603854389722;154.603854389722;154.603854389722;154.603854389722;154.603854389722;154.603854389722;160.385438972163;160.385438972163;160.385438972163;160.385438972163;160.385438972163;160.385438972163;160.385438972163;160.385438972163;160.385438972163;160.385438972163;160.385438972163;160.813704496788;166.167023554604;166.167023554604;166.167023554604;166.167023554604;166.167023554604;166.167023554604;166.167023554604;166.167023554604;166.167023554604;166.167023554604;166.167023554604;166.167023554604;166.595289079229;174.518201284797;174.518201284797;174.518201284797;174.518201284797;174.518201284797;174.518201284797;174.518201284797;174.518201284797;174.518201284797;174.518201284797;174.518201284797;180.728051391863;180.728051391863;180.728051391863;180.728051391863;180.728051391863;180.728051391863;181.156316916488;181.156316916488;181.156316916488;181.156316916488;181.156316916488;181.156316916488;188.008565310493;188.008565310493;188.008565310493;188.008565310493;188.008565310493;188.008565310493;188.008565310493;188.008565310493;188.008565310493;188.008565310493;188.008565310493;188.008565310493;191.648822269807;192.291220556745;192.291220556745;192.291220556745;192.291220556745;192.291220556745;192.291220556745;192.291220556745;192.291220556745;192.291220556745;192.291220556745;192.291220556745;192.933618843683;193.147751605996;193.147751605996;193.147751605996;193.147751605996;193.147751605996;193.147751605996;193.147751605996;193.147751605996;193.147751605996;193.147751605996;193.147751605996;200.642398286938;200.856531049251;200.856531049251;200.856531049251;200.856531049251;200.856531049251;200.856531049251;200.856531049251;200.856531049251;200.856531049251;200.856531049251;200.856531049251;206.638115631692;206.852248394004;206.852248394004;206.852248394004;206.852248394004;206.852248394004;206.852248394004;206.852248394004;206.852248394004;206.852248394004;206.852248394004;206.852248394004;211.777301927195;211.991434689507;211.991434689507;211.991434689507;211.991434689507;211.991434689507;211.991434689507;211.777301927195;211.991434689507;211.991434689507;211.991434689507;212.20556745182;213.704496788009;213.918629550321;216.27408993576;218.201284796574;214.775160599572;213.918629550321;219.057815845824;210.920770877944;207.28051391863;216.916488222698;213.490364025696;212.20556745182;212.847965738758;211.777301927195;210.920770877944;209.207708779443;211.777301927195;210.920770877944;217.344753747323;213.918629550321;210.920770877944;216.059957173448;212.419700214133;213.918629550321;215.845824411135;213.276231263383;208.565310492505;213.918629550321;214.775160599572;217.773019271949;221.199143468951;220.556745182013;219.914346895075;220.128479657388;222.698072805139;221.627408993576;230.192719486081;224.625267665953;221.199143468951;223.340471092077;223.126338329764;224.41113490364;222.483940042827;224.625267665953;225.267665952891;221.413276231263;222.269807280514;220.985010706638;229.122055674518;222.483940042827;218.843683083512;223.126338329764;230.620985010707;226.766595289079;230.406852248394;228.47965738758;229.978586723769;224.197002141328;222.698072805139;219.057815845824;224.625267665953;206.638115631692;201.284796573876;198.715203426124;206.423982869379;204.496788008565;200.214132762313;198.072805139186;198.929336188437;191.434689507495;190.792291220557;187.366167023555;190.792291220557;189.935760171306;191.86295503212;194.218415417559;196.359743040685;194.860813704497;193.361884368308;198.715203426124;202.783725910064;197.430406852248;198.286937901499;190.149892933619;
Personenbeförderung im Straßenverkehr;100;101.169590643275;101.559454191033;101.754385964912;101.949317738791;102.144249512671;103.508771929825;104.873294346979;104.873294346979;105.458089668616;105.653021442495;106.627680311891;111.111111111111;111.111111111111;111.30604288499;111.500974658869;112.280701754386;112.280701754386;112.280701754386;112.670565302144;112.865497076023;113.255360623782;113.450292397661;113.450292397661;116.959064327485;116.959064327485;117.738791423002;118.12865497076;118.12865497076;118.323586744639;118.518518518519;118.518518518519;118.518518518519;119.103313840156;119.493177387914;119.688109161793;120.077972709552;120.46783625731;120.46783625731;120.857699805068;121.052631578947;121.247563352827;121.442495126706;121.442495126706;122.027290448343;122.027290448343;122.027290448343;122.027290448343;123.391812865497;125.341130604288;125.925925925926;126.120857699805;126.315789473684;126.315789473684;126.315789473684;126.705653021442;126.705653021442;127.095516569201;127.29044834308;127.485380116959;129.044834307992;129.044834307992;129.044834307992;129.239766081871;129.239766081871;129.239766081871;129.239766081871;129.239766081871;129.239766081871;129.239766081871;129.62962962963;129.62962962963;130.019493177388;130.799220272904;130.994152046784;131.968810916179;131.968810916179;131.968810916179;132.163742690058;132.163742690058;132.163742690058;132.163742690058;132.358674463938;132.358674463938;132.358674463938;132.358674463938;132.748538011696;133.138401559454;133.918128654971;133.918128654971;133.918128654971;133.918128654971;134.307992202729;134.892787524366;134.892787524366;135.087719298246;135.087719298246;135.087719298246;135.282651072125;136.4522417154;136.4522417154;136.4522417154;136.4522417154;136.647173489279;136.647173489279;136.647173489279;136.647173489279;136.647173489279;137.426900584795;137.426900584795;137.426900584795;137.621832358674;137.816764132554;138.401559454191;138.59649122807;138.59649122807;139.181286549708;139.571150097466;140.740740740741;141.325536062378;142.884990253411;144.054580896686;144.834307992203;145.224171539961;145.614035087719;146.198830409357;146.393762183236;146.003898635478;146.588693957115;146.783625730994;146.978557504873;146.978557504873;150.09746588694;150.09746588694;150.877192982456;150.877192982456;150.877192982456;151.461988304094;151.461988304094;151.461988304094;151.461988304094;151.461988304094;151.461988304094;151.656920077973;153.216374269006;153.216374269006;153.216374269006;153.216374269006;153.216374269006;153.216374269006;153.606237816764;153.996101364522;154.191033138402;154.58089668616;154.58089668616;154.775828460039;155.555555555556;155.750487329435;155.750487329435;156.140350877193;156.140350877193;156.72514619883;156.72514619883;157.115009746589;157.115009746589;157.309941520468;157.309941520468;157.699805068226;157.309941520468;157.504873294347;157.504873294347;157.699805068226;157.699805068226;157.699805068226;157.699805068226;157.699805068226;158.089668615984;158.089668615984;158.089668615984;158.089668615984;158.284600389864;158.284600389864;158.284600389864;158.479532163743;158.479532163743;159.259259259259;159.649122807018;159.649122807018;158.869395711501;158.869395711501;159.06432748538;159.06432748538;160.233918128655;160.428849902534;162.962962962963;162.573099415205;162.573099415205;162.573099415205;162.573099415205;162.768031189084;163.157894736842;163.352826510721;163.352826510721;163.5477582846;163.74269005848;163.937621832359;164.522417153996;164.522417153996;165.692007797271;165.302144249513;165.692007797271;165.497076023392;166.471734892788;166.471734892788;167.836257309942;169.200779727096;169.590643274854;169.590643274854;171.150097465887;171.150097465887;171.150097465887;171.734892787524;172.124756335283;172.319688109162;172.319688109162;172.319688109162;172.319688109162;172.319688109162;172.319688109162;172.70955165692;172.70955165692;172.70955165692;172.70955165692;172.70955165692;172.70955165692;172.70955165692;172.70955165692;172.70955165692;172.70955165692;172.70955165692;173.099415204678;173.099415204678;173.099415204678;173.294346978558;173.294346978558;173.294346978558;173.489278752437;173.684210526316;174.074074074074;174.658869395712;176.413255360624;177.19298245614;178.557504873294;178.362573099415;178.557504873294;178.557504873294;178.947368421053;179.142300194932;179.922027290448;180.116959064327;180.311890838207;180.506822612086;180.896686159844;181.481481481481;181.87134502924;182.066276803119;182.456140350877;182.456140350877;182.651072124756;182.651072124756;182.651072124756;182.846003898635;183.040935672515;183.040935672515;183.430799220273;183.625730994152;186.744639376218;187.329434697856;187.524366471735;187.914230019493;187.914230019493;187.914230019493;189.083820662768;189.083820662768;189.083820662768;189.668615984405;190.253411306043;191.617933723197;185.964912280702;189.473684210526;190.643274853801;196.881091617934;197.855750487329;194.736842105263;194.346978557505;195.711500974659;194.541910331384;195.126705653021;196.296296296296;207.797270955166;200.779727095517;195.906432748538;201.949317738791;199.415204678363;198.440545808967;194.541910331384;195.126705653021;195.906432748538;194.736842105263;194.736842105263;197.076023391813;205.458089668616;199.415204678363;197.855750487329;199.025341130604;203.703703703704;200.974658869396;204.678362573099;204.288499025341;206.82261208577;203.313840155945;204.093567251462;202.33918128655;207.407407407407;202.729044834308;202.144249512671;201.169590643275;203.313840155945;204.873294346979;198.830409356725;204.873294346979;205.458089668616;208.576998050682;209.551656920078;210.136452241715;210.526315789474;216.569200779727;211.30604288499;204.678362573099;214.035087719298;219.688109161793;211.30604288499;210.136452241715;220.46783625731;219.493177387914;224.171539961014;216.569200779727;222.222222222222;218.12865497076;216.764132553606;215.009746588694;224.756335282651;231.578947368421;226.315789473684;218.713450292398;221.247563352827;211.111111111111;210.136452241715;204.873294346979;209.356725146199;205.847953216374;204.48343079922;204.093567251462;212.475633528265;233.918128654971;230.214424951267;226.705653021442;231.189083820663;223.781676413255;229.824561403509;222.612085769981;
Personenbeförderung im Luftverkehr;100;102.272727272727;102.272727272727;95.2797202797203;95.2797202797203;104.195804195804;105.944055944056;99.1258741258741;99.1258741258741;97.5524475524476;93.1818181818182;98.2517482517483;93.1818181818182;93.1818181818182;93.1818181818182;98.2517482517483;93.7062937062937;100.174825174825;101.573426573427;94.9300699300699;94.9300699300699;91.7832167832168;89.3356643356643;96.6783216783217;86.013986013986;86.013986013986;86.1888111888112;88.1118881118881;87.5874125874126;93.3566433566434;94.9300699300699;90.034965034965;90.2097902097902;87.7622377622378;85.3146853146853;93.1818181818182;84.2657342657343;84.2657342657343;84.7902097902098;88.4615384615385;87.9370629370629;92.8321678321678;93.8811188811189;89.8601398601399;88.8111888111888;87.7622377622378;85.3146853146853;88.8111888111888;85.3146853146853;87.0629370629371;87.9370629370629;94.5804195804196;91.7832167832168;94.5804195804196;99.6503496503497;96.6783216783217;95.6293706293706;96.8531468531469;88.986013986014;93.8811188811189;87.5874125874126;89.3356643356643;90.9090909090909;95.6293706293706;96.1538461538462;98.951048951049;103.671328671329;100.699300699301;98.2517482517483;97.5524475524476;91.0839160839161;98.951048951049;90.9090909090909;92.1328671328671;98.951048951049;92.6573426573427;94.4055944055944;98.6013986013986;104.020979020979;100.699300699301;98.2517482517483;96.6783216783217;90.2097902097902;97.027972027972;88.6363636363636;90.9090909090909;92.8321678321678;91.7832167832168;92.4825174825175;99.3006993006993;105.41958041958;103.146853146853;99.3006993006993;98.2517482517483;91.6083916083916;97.027972027972;89.1608391608392;91.7832167832168;92.6573426573427;91.6083916083916;92.3076923076923;100.699300699301;104.195804195804;103.671328671329;98.0769230769231;97.7272727272727;90.2097902097902;98.7762237762238;90.5594405594406;90.9090909090909;91.7832167832168;98.951048951049;91.7832167832168;95.979020979021;105.244755244755;103.846153846154;99.1258741258741;98.951048951049;92.6573426573427;104.545454545455;93.3566433566434;94.2307692307692;94.9300699300699;101.923076923077;94.0559440559441;98.7762237762238;107.867132867133;105.769230769231;100.524475524476;105.06993006993;93.1818181818182;110.314685314685;99.3006993006993;100.174825174825;108.391608391608;100.699300699301;99.8251748251748;109.965034965035;112.587412587413;111.713286713287;104.72027972028;106.468531468531;97.7272727272727;108.041958041958;97.2027972027972;97.5524475524476;99.3006993006993;108.916083916084;101.398601398601;112.587412587413;116.783216783217;117.132867132867;107.692307692308;109.440559440559;102.447552447552;111.538461538462;101.398601398601;101.923076923077;102.622377622378;108.916083916084;100.34965034965;111.188811188811;116.958041958042;115.034965034965;115.734265734266;121.328671328671;114.685314685315;127.622377622378;116.608391608392;117.132867132867;120.27972027972;113.986013986014;115.034965034965;117.132867132867;127.797202797203;126.923076923077;122.027972027972;128.671328671329;119.405594405594;123.426573426573;117.132867132867;118.006993006993;118.706293706294;122.202797202797;120.104895104895;123.951048951049;135.48951048951;127.622377622378;126.223776223776;128.321678321678;116.608391608392;122.727272727273;117.307692307692;120.804195804196;122.202797202797;127.097902097902;119.93006993007;126.923076923077;134.440559440559;131.643356643357;131.293706293706;128.846153846154;126.923076923077;130.944055944056;126.748251748252;126.223776223776;136.363636363636;130.41958041958;132.517482517483;139.160839160839;151.573426573427;149.475524475524;147.552447552448;145.629370629371;141.608391608392;146.853146853147;136.888111888112;136.713286713287;138.286713286713;139.51048951049;135.48951048951;137.937062937063;152.272727272727;144.93006993007;139.86013986014;143.706293706294;140.909090909091;146.853146853147;141.083916083916;141.083916083916;144.93006993007;138.636363636364;138.636363636364;138.811188811189;152.797202797203;151.048951048951;142.482517482517;145.804195804196;143.531468531469;145.979020979021;146.678321678322;150.524475524476;152.622377622378;156.818181818182;156.118881118881;153.671328671329;173.076923076923;170.454545454545;166.258741258741;169.230769230769;164.335664335664;171.328671328671;165.20979020979;165.384615384615;166.958041958042;173.076923076923;171.153846153846;170.804195804196;184.79020979021;178.321678321678;173.426573426573;175.174825174825;172.202797202797;176.048951048951;169.755244755245;168.706293706294;174.300699300699;172.377622377622;169.405594405594;172.377622377622;182.342657342657;179.020979020979;175;172.727272727273;167.657342657343;172.552447552448;165.384615384615;165.384615384615;166.083916083916;177.097902097902;171.503496503497;175.699300699301;191.258741258741;188.636363636364;179.020979020979;180.769230769231;172.727272727273;176.223776223776;171.853146853147;171.853146853147;173.251748251748;176.398601398601;175.874125874126;171.853146853147;181.993006993007;180.41958041958;174.125874125874;176.048951048951;171.328671328671;173.076923076923;170.104895104895;170.104895104895;172.377622377622;171.853146853147;175;176.748251748252;187.937062937063;180.594405594406;176.573426573427;179.545454545455;169.405594405594;172.902097902098;166.783216783217;166.608391608392;167.307692307692;173.951048951049;174.475524475524;182.692307692308;196.153846153846;193.531468531469;180.769230769231;180.769230769231;171.678321678322;179.195804195804;170.104895104895;168.881118881119;170.629370629371;168.531468531469;169.93006993007;174.300699300699;182.342657342657;181.293706293706;174.475524475524;177.272727272727;171.153846153846;175.34965034965;173.076923076923;171.853146853147;172.552447552448;178.846153846154;172.377622377622;176.923076923077;187.762237762238;186.013986013986;181.993006993007;179.895104895105;180.06993006993;184.79020979021;179.195804195804;180.41958041958;180.769230769231;188.111888111888;184.965034965035;187.237762237762;195.804195804196;193.706293706294;189.160839160839;187.937062937063;188.461538461538;191.783216783217;187.237762237762;188.636363636364;189.685314685315;197.027972027972;193.006993006993;196.153846153846;204.545454545455;203.496503496503;199.475524475524;198.951048951049;202.622377622378;
